,height,name
171,"6'9""",Aaron Jones
172,"6'2""",Anthony Davis
173,"6'8""",TJ Warren
174,"6'9""",Devin Thomas
175,"6'4""",Olivier Hanlan
176,"6'5""",Marcus Georges-Hunt
177,"6'1""",Marcus Paige
178,"6'9""",Brice Johnson
179,"7'0""",A.J. Hammons
180,"6'7""",Shavon Shields
181,"6'5""",Denzel Valentine
182,"6'0""",Kevin Ferrell
183,"6'6""",Kellen Dunham
184,"6'3""",Ryan Arcidiacono
185,"6'3""",D'Vauntes Smith-Rivera
186,"6'9""",Gavin Ware
187,"6'5""",Michael Carrera
188,"6'10""",Nerlens Noel
189,"7'0""",Asauhn Dixon-Tatum
190,"6'11""",Laimonas Chatkevicius
191,"6'5""",Armani Moore
192,"7'0""",Willie Cauley-Stein
193,"6'7""",Jamel Artis
194,"6'9""",Kennedy Meeks
195,"6'7""",Jaron Blossomgame
196,"6'6""",Peter Jok
197,"6'6""",Zak Irvin
198,"6'6""",Malcolm Hill
199,"6'8""",Nigel Hayes
200,"6'6""",Billy Garrett
201,"6'5""",Josh Hart
202,"6'11""",Bobby Portis
203,"6'9""",Sebastian Saiz
204,"6'10""",Damian Jones
205,"6'10""",Jimmie Taylor
206,"7'0""",Luke Kornet
207,"6'8""",Jordan Mickey
208,"6'10""",Moses Kingsley
209,"6'4""",Grayson Allen
210,"6'5""",Bonzie Colson
211,"6'0""",Joel Berry
212,"5'11""",Justin Jackson
213,"6'4""",Jae'Sean Tate
214,"7'2""",Isaac Haas
215,"6'2""",Shep Garner
