,height,name
1,"6'9""",Terence Dials
2,"6'8""",Vedran Vukusic
3,"6'4""",Ricky Shields
4,"6'3""",Ben Gordon
5,"6'9""",Hakim Warrick
6,"6'7""",Ryan Gomes
7,"6'4""",Chris Thomas
8,"6'10""",Brandon Crump
9,"6'9""",David Lee
10,"6'6""",Chuck Hayes
11,"6'4""",JJ Redick
12,"6'8""",Nik Caner-Medley
13,"6'2""",Justin Gray
14,"6'4""",Rashad McCants
15,"6'8""",Eric Williams
16,"6'9""",Shelden Williams
17,"6'3""",Jeff Horner
18,"6'7""",Greg Brunner
19,"6'5""",Maurice Ager
20,"6'5""",Adam Haluska
21,"6'3""",Daniel Horton
22,"6'11""",Paul Davis
23,"6'1""",Dee Brown
24,"6'6""",Alando Tucker
25,"6'9""",Brandon Bowman
26,"6'2""",Carl Krauser
27,"6'7""",Curtis Sumpter
28,"6'11""",Kevin Pittsnogle
29,"6'7""",Craig Smith
30,"6'4""",Randy Foye
31,"6'2""",Allan Ray
32,"6'2""",Gerry McNamara
33,"6'9""",Julian Terrell
34,"6'3""",Chuck Davis
35,"6'4""",JR Reynolds
36,"6'8""",Al Thornton
37,"6'3""",Dion Harris
38,"6'3""",Quincy Douby
39,"6'8""",Brandon Bass
40,"6'8""",Renaldo Balkman
41,"6'10""",Jermareo Davidson
42,"6'10""",Brandon Wallace
43,"6'9""",James Gist
44,"6'3""",Cliff Hammonds
45,"6'1""",Jack McClinton
46,"6'1""",Toney Douglas
47,"6'0""",Sean Singletary
48,"6'0""",Drew Neitzel
49,"6'5""",Geary Claxton
50,"6'9""",Glen Davis
51,"6'10""",Randolph Morris
52,"6'8""",Charles Rhodes
53,"6'11""",Joakim Noah
54,"6'10""",Al Horford
55,"6'10""",Darian Townes
56,"7'0""",Steven Hill
57,"6'5""",KC Rivers
58,"6'6""",AD Vassallo
59,"6'1""",Tyrese Rice
60,"6'9""",Tyler Hansbrough
61,"6'6""",Jamelle Cornley
62,"6'6""",Terrence Williams
63,"6'7""",Jeff Adrien
64,"5'10""",Sharaud Curry
65,"6'5""",Wesley Matthews
66,"6'4""",Eric Devendorf
67,"5'11""",Dominic James
68,"6'6""",Sam Young
69,"6'3""",Jerel McNeal
70,"6'6""",Garrett Temple
71,"6'9""",Richard Hendrix
72,"6'7""",Korvotney Barber
73,"6'6""",Chris Johnson
74,"6'8""",Deon Thompson
75,"6'5""",Jon Scheyer
76,"6'4""",Wayne Ellington
77,"6'7""",Trevor Booker
78,"6'6""",Greivis Vasquez
79,"6'8""",DeShawn Sims
80,"6'8""",Raymar Morgan
81,"6'0""",Eugene Harvey
82,"6'3""",Jerome Dyson
83,"6'6""",Lazar Hayward
84,"6'1""",Deonta Vaughn
85,"6'7""",Da'Sean Butler
86,"6'2""",Scottie Reynolds
87,"6'8""",Luke Harangody
88,"6'11""",Albert Jackson
89,"6'9""",Mike Washington
90,"6'9""",Wayne Chism
91,"6'9""",Perry Stevenson
92,"6'9""",Jarvis Varnado
93,"6'1""",Mike Scott
94,"6'3""",Malcolm Delaney
95,"6'0""",Jeff Allen
96,"6'2""",Nolan Smith
97,"6'8""",Kyle Singler
98,"6'7""",Evan Turner
99,"6'6""",Jon Diebler
100,"6'5""",Manny Harris
101,"6'10""",Michael Thompson
102,"6'3""",Demetri McCamey
103,"6'8""",Robbie Hummel
104,"6'10""",JaJuan Johnson
105,"6'1""",Kalin Lucas
106,"6'4""",E'Twaun Moore
107,"6'0""",Talor Battle
108,"6'5""",Marshon Brooks
109,"6'1""",Corey Fisher
110,"6'4""",Austin Freeman
111,"6'4""",Dominique Jones
112,"6'5""",Jeremy Hazell
113,"6'9""",Delvon Johnson
114,"6'8""",Alex Tyus
115,"6'10""",A.J. Ogilvy
116,"6'9""",Patrick Patterson
117,"6'9""",Sam Muldrow
118,"7'0""",Tyler Zeller
119,"6'7""",Draymond Green
120,"6'1""",Jordan Taylor
121,"6'5""",Matt Gatens
122,"6'6""",William Buford
123,"6'9""",John Shurna
124,"6'2""",Darryl Bryant
125,"6'2""",Ashton Gibbs
126,"6'1""",Kemba Walker
127,"6'1""",Kevin Jones
128,"6'8""",Darius Miller
129,"6'9""",Terrance Henry
130,"6'10""",Trey Thompkins
131,"6'7""",Storm Warren
132,"6'11""",Festus Ezeli
133,"6'8""",JaMychal Green
134,"6'5""",Michael Snaer
135,"6'10""",Mason Plumlee
136,"6'5""",Durand Scott
137,"6'3""",Erick Green
138,"6'1""",Tim Frazier
139,"6'4""",Brandon Paul
140,"6'9""",Christian Watford
141,"6'5""",Drew Crawford
142,"6'4""",Brandon Triche
143,"6'2""",Darius Johnson-Odom
144,"6'8""",Kenny Gabriel
145,"6'9""",Reginald Buckner
146,"6'7""",Travis McKie
147,"6'6""",Joe Harris
148,"6'1""",Keith Appling
149,"6'0""",Tim Hardaway
150,"6'7""",Deshaun Thomas
151,"6'6""",Roy Devyn Marble
152,"6'4""",D.J. Newbill
153,"6'6""",Edwin Fuquan
154,"6'8""",Cleveland Melvin
155,"6'4""",Brandon Young
156,"6'1""",Bryce Cotton
157,"6'4""",Marcus Thornton
158,"6'9""",Donte Williams
159,"6'9""",Terrence Jones
160,"6'9""",Patric Young
161,"6'2""",Quinn Cook
162,"6'5""",Malcolm Brogdon
163,"6'3""",Tre Demps
164,"6'2""",Andre Hollins
165,"6'0""",Aaron White
166,"6'6""",Darrun Hilliard
167,"6'7""",JayVaughn Pinkston
168,"6'6""",LaDontae Henton
169,"6'4""",D'Angelo Harrison
170,"6'10""",Hunter Mickelson
