@relation master

@attribute 'First Name' {Jahlil,Myles,Joshua,Karl,Stanley,Justise,Trey,Ben,Jaylen,Marquese,Zion,Jalen,Jamison,Manny,Onyeka,Akok,Isaiah,Trayce,Precious,Dangelo,Devin,Brandon,Jamal,Anthony,Kihei,Caleb,Max,Keaston,Tyger,Carlos,Talon,Yuri,Nico,Jordan,Carsen,Kevin,Juan,Kris,Darius,Chris,Lonny,David,Preston,Troy,Udonis,Tony,Stromile,Vincent,Tayshaun,Jules,Josh,Travis,Jay,Brian,Lavell,Gary,Matt,Rod,Larry,Marcus,Bernard,Jitim,Julius,Bryant,Mike,Andre,Marquis,Kyle,Daniel,Bj,Jawad,Michael,Terence,Vedran,Ricky,Hakim,Ryan,Chuck,Jj,Nik,Justin,Rashad,Eric,Shelden,Jeff,Greg,Maurice,Adam,Paul,Dee,Alando,Carl,Curtis,Craig,Randy,Allan,Gerry,Julian,Jr,Al,Dion,Quincy,Renaldo,Jermareo,James,Cliff,Jack,Toney,Sean,Drew,Geary,Glen,Randolph,Charles,Joakim,Darian,Steven,Kc,Ad,Tyrese,Tyler,Jamelle,Terrence,Sharaud,Wesley,Dominic,Sam,Jerel,Garrett,Richard,Korvotney,Deon,Jon,Wayne,Trevor,Greivis,Deshawn,Raymar,Eugene,Jerome,Lazar,Deonta,Dasean,Scottie,Luke,Albert,Perry,Jarvis,Malcolm,Nolan,Evan,Demetri,Robbie,Jajuan,Kalin,Etwaun,Talor,Marshon,Corey,Austin,Dominique,Jeremy,Delvon,Alex,Aj,Patrick,Draymond,William,John,Darryl,Ashton,Kemba,Terrance,Storm,Festus,Jamychal,Mason,Durand,Erick,Tim,Christian,Kenny,Reginald,Joe,Keith,Deshaun,Roy,Dj,Edwin,Cleveland,Bryce,Donte,Patric,Quinn,Tre,Aaron,Darrun,Jayvaughn,Ladontae,Hunter,Tj,Olivier,Brice,Shavon,Denzel,Kellen,Dvauntes,Gavin,Nerlens,Asauhn,Laimonas,Armani,Willie,Jamel,Kennedy,Jaron,Peter,Zak,Nigel,Billy,Bobby,Sebastian,Damian,Jimmie,Moses,Grayson,Bonzie,Joel,Jaesean,Isaac,Shep,Vince,Melo,Nate,Phil,Angel,Desi,Khadeen,Kelan,Trevon,Yante,Glynn,Ethan,Eli,Jessie,Derek,Horace,Aric,Kevarrius,Donta,Tyus,Ky,Cassius,Lamar,Alpha,Shamorie,Kamar,Markus,Adrio,Clevon,Robert,Grant,Anfernee,Luka,Nicolas,Abdul,Doug,Frank,Casey,Nick,Dan,Sherron,Dejuan,Andrew,Shane,Emeka,Ty,Jameer,Carmelo,Dwyane,Blake,Stephen,Jason,Kawhi}
@attribute 'Last Name' {Okafor,Turner,Morgan,Anthony,Johnson,Winslow,Lyles,Simmons,Brown,Chriss,Williamson,Smith,Battle,Bates,Okongwu,Akok,Stewart,Jackson,Achiuwa,Russell,Booker,Ingram,Murray,Cowan,Clark,Hunter,Edwards,Abmas,Willis,Campbell,Paez,Cooper,Collins,Mannion,Lyons,Durant,Dixon,Lang,Grundy,Songaila,Williams,Baxter,Braswell,Graves,Shumpert,Murphy,Haslem,Kitchings,Swift,Yarbrough,Prince,Camara,Howard,Boozer,Watson,Cook,Blanchard,Buchanan,Carroll,Bell,Grizzard,Satchell,Haislip,Robinson,Young,Page,Matthews,Sweetney,Barrett,Rice,Daniels,Estill,Davis,Ewing,Elder,Hodge,Wilkinson,Hill,Dials,Vukusic,Shields,Gordon,Warrick,Gomes,Thomas,Crump,Lee,Hayes,Redick,Caner,Gray,Mccants,Horner,Brunner,Ager,Haluska,Horton,Tucker,Bowman,Krauser,Sumpter,Pittsnogle,Foye,Ray,Mcnamara,Terrell,Reynolds,Thornton,Harris,Douby,Bass,Balkman,Davidson,Wallace,Gist,Hammonds,Mcclinton,Douglas,Singletary,Neitzel,Claxton,Morris,Rhodes,Noah,Horford,Townes,Rivers,Vassallo,Hansbrough,Cornley,Adrien,Curry,Devendorf,James,Mcneal,Temple,Hendrix,Barber,Thompson,Scheyer,Ellington,Vasquez,Sims,Harvey,Dyson,Hayward,Vaughn,Butler,Harangody,Washington,Chism,Stevenson,Varnado,Scott,Delaney,Allen,Singler,Diebler,Mccamey,Hummel,Lucas,Moore,Brooks,Fisher,Freeman,Jones,Hazell,Tyus,Ogilvy,Patterson,Muldrow,Zeller,Green,Taylor,Gatens,Buford,Shurna,Bryant,Gibbs,Walker,Miller,Henry,Thompkins,Warren,Ezeli,Snaer,Plumlee,Frazier,Paul,Watford,Crawford,Triche,Gabriel,Buckner,Mckie,Appling,Hardaway,Devyn,Newbill,Fuquan,Melvin,Cotton,Brogdon,Demps,Hollins,White,Hilliard,Pinkston,Henton,Harrison,Mickelson,Hanlan,Georges-Hunt,Paige,Hammons,Valentine,Ferrell,Dunham,Arcidiacono,Ware,Carrera,Noel,Chatkevicius,Cauley,Artis,Meeks,Blossomgame,Jok,Irvin,Garrett,Hart,Portis,Saiz,Kornet,Mickey,Kingsley,Colson,Berry,Tate,Haas,Garner,Trimble,Mcintosh,Mason,Booth,Delgado,Rodriguez,Carrington,Martin,Bluiett,Maten,Maye,Watsonjr,Happ,Cain,Govan,Brunson,Ogbeide,Nebo,Spencer,Alexander,Silva,Holman,Hall,Winston,Stevens,Diallo,Ponds,Baldwin,Powell,Bailey,Wiley,Mclemore,Garza,Gafford,Ado,Guy,Mcdermott,Kaminsky,Brewer,Jacobsen,Lofton,Roy,Simien,Fazekas,Dickau,Collison,Kaman,Gooden,Love,West,May,Blair,Morsell,Oden,Bogut,Beasley,Battier,Ford,Lawson,Wall,Morrison,Nelson,Wade,Griffin,Leonard}
@attribute 'Height in Inches' numeric
@attribute 1done {Yes,No}
@attribute 'Freshman Year' numeric
@attribute School {Duke,Texas,'Long Beach State',Kentucky,Arizona,LSU,California,Washington,Maryland,'George Washington','NC State',USC,UConn,Siena,Indiana,Memphis,'Ohio State',Clemson,Virginia,'Mississippi Valley State','Missouri State','Oral Roberts','Incarnate Word',UCLA,'Austin Peay','Morehead State','Saint Louis',Furman,Purdue,UNC,'Wake Forest','Ball State',Georgetown,'Notre Dame',Syracuse,Florida,'South Carolina',Tennessee,Illinois,Michigan,Villanova,'Boston College',Alabama,Arkansas,Northwestern,Pitt,'Virginia Tech','Seton Hall','Miami FL',Georgia,Auburn,'Georgia Tech',Wisconsin,Mercer,Rutgers,Providence,'Florida Atlantic',Iowa,'Michigan State','Iowa State',Jacksonville,'West Virginia',Vanderbilt,'Eastern Illinois','Florida State','Penn State','Mississippi State',Louisville,Marquette,Dayton,Cincinnati,'Eastern Kentucky','High Point','South Florida','Western Illinois',Bradley,'Ole Miss','Central Arkansas',UTEP,'Southern Miss',DePaul,Minnesota,'Texas A&amp;M-Corpus Christi','St. Johns NY',Nebraska,Butler,'Central Michigan',Xavier,Dartmouth,'Saint Francis PA',Creighton,Stanford,Kansas,Nevada,Utah,'Kansas State',Gonzaga,'St. Josephs',Oklahoma,Davidson,Marshall,'San Diego State'}
@attribute Conference {ACC,'Big 12','Big West',SEC,Pac-12,'Big Ten',A-10,AAC,MAAC,SWAC,MVC,Summit,Southland,OVC,Southern,MAC,'Big East',TAAC,A-Sun,'Sun Belt','Big South',WAC,CUSA,Ind,Ivy,NEC,Pac-10,MWC,WCC}
@attribute 'Games Played' numeric
@attribute 'Games Started' numeric
@attribute 'Minutes Played per Game' numeric
@attribute 'Field Goals per Game' numeric
@attribute 'Field Goals Attempted per Game' numeric
@attribute 'Field Goals \%' numeric
@attribute '2-Pointers per Game' numeric
@attribute '2-Pointers Attempted per Game' numeric
@attribute '2-Pointers \%' numeric
@attribute '3-Pointers per Game' numeric
@attribute '3-Pointers Attempted per game' numeric
@attribute '3-Pointer \%' numeric
@attribute 'Free Throws per Game' numeric
@attribute 'Free Throws Attempted per Game' numeric
@attribute 'Free Throw \%' numeric
@attribute 'Offensive Rebounds per Game' numeric
@attribute 'Defensive Rebounds per Game' numeric
@attribute 'Total Rebounds per game' numeric
@attribute 'Assists per Game' numeric
@attribute 'Steals per Game' numeric
@attribute 'Blocks per Game' numeric
@attribute 'Turnovers per Game' numeric
@attribute 'Fouls per Game' numeric
@attribute 'Points per Game' numeric
@attribute 'Strength of Season' numeric

@data
Jordan,Lyons,71,No,2016,Furman,Southern,34,0,16.4,1.9,5,0.386,0.5,1.1,0.5,1.4,4,0.356,0.6,0.8,0.679,0.2,1.2,1.4,1.1,0.5,0,0.9,0.8,5.9,-3.75
Carsen,Edwards,73,No,2016,Purdue,'Big Ten',35,21,23.2,3.7,9.6,0.382,2.3,5.5,0.414,1.4,4.1,0.34,1.6,2.1,0.743,0.4,2.2,2.6,1.8,1,0.1,1.8,1.9,10.3,8.79
Kevin,Durant,81,Yes,2006,Texas,'Big 12',35,35,35.9,8.7,18.5,0.473,6.4,12.7,0.505,2.3,5.8,0.404,6,7.3,0.816,3,8.1,11.1,1.3,1.9,1.9,2.8,2,25.8,6.12
Juan,Dixon,75,No,1998,Maryland,ACC,34,?,14.9,2.5,5.6,0.443,1.4,2.8,0.516,1.1,2.9,0.371,1.3,1.6,0.83,?,?,2.6,1.4,1.5,0,1.5,1.7,7.4,9.1
Kris,Lang,83,No,1998,UNC,ACC,34,?,?,4.4,7.5,0.578,4.4,7.5,0.578,0,0,?,1.9,2.8,0.67,?,?,5.4,0.5,0.6,0.5,?,?,10.6,10.24
Anthony,Grundy,75,No,1998,'NC State',ACC,25,?,21.4,2.9,7.2,0.406,2,4.4,0.441,1,2.8,0.348,1.2,1.9,0.638,?,?,3,2,1.5,0.2,?,?,8,6.92
Darius,Songaila,81,No,1998,'Wake Forest',ACC,31,?,24.4,4,8,0.504,4,7.7,0.513,0.1,0.3,0.25,4,4.9,0.804,?,?,5.3,1.5,1.3,0.7,2.8,3.6,12.1,8.13
Chris,Williams,75,No,1998,'Ball State',MAC,35,29,30.3,5.2,12.6,0.41,2.6,6.1,0.427,2.6,6.5,0.393,2.9,3.6,0.811,0.9,1.9,2.9,1.3,0.9,0.1,1.7,2.8,15.9,3.29
Lonny,Baxter,80,No,1998,Maryland,ACC,32,?,14.5,2.6,4.3,0.599,2.5,4.2,0.593,0.1,0.1,1,1.6,2.8,0.573,?,?,3.6,0.6,0.7,0.8,0.9,2.3,6.8,9.1
Kevin,Braswell,74,No,1998,Georgetown,'Big East',31,?,?,4.5,13.6,0.335,3.1,9,0.345,1.5,4.6,0.315,3,3.9,0.754,?,?,4.2,4.5,2.7,0.1,?,?,13.5,6.41
David,Graves,78,No,1998,'Notre Dame','Big East',30,?,?,4.4,9.2,0.475,3.2,6.3,0.505,1.2,2.9,0.407,2.4,3.1,0.777,?,?,3.9,2.5,1.2,0.1,?,?,12.3,6.99
Preston,Shumpert,79,No,1998,Syracuse,'Big East',32,?,?,1.8,4.6,0.399,1,1.7,0.582,0.8,2.9,0.29,0.8,1.2,0.73,?,?,2.4,0.6,0.5,0.2,?,?,5.4,7.64
Troy,Murphy,83,No,1998,'Notre Dame','Big East',27,?,33,6.8,12.6,0.538,6.6,12.1,0.547,0.1,0.5,0.308,5.5,7.4,0.741,?,?,9.9,1.4,1.3,1.4,2.9,2.9,19.2,6.99
Udonis,Haslem,80,No,1998,Florida,SEC,31,?,21.3,3.8,6.3,0.603,3.8,6.2,0.609,0,0.1,0,3,5.1,0.592,?,?,5,0.8,0.7,0.7,?,?,10.5,5.63
Tony,Kitchings,82,No,1998,'South Carolina',SEC,5,?,?,0,1,0,0,1,0,0,0,?,0.4,0.4,1,?,?,0.6,0,0.4,0.2,?,?,0.4,8.12
Stromile,Swift,81,No,1998,LSU,SEC,16,?,19.9,2.8,6.9,0.409,2.8,6.4,0.431,0.1,0.5,0.125,1.9,3.1,0.6,?,?,4.3,0.3,0.9,2.2,2.9,2.7,7.6,5.89
Vincent,Yarbrough,79,No,1998,Tennessee,SEC,30,28,23.5,2.8,6.6,0.417,2,3.8,0.522,0.8,2.8,0.274,1.3,1.9,0.702,?,?,5.2,1.4,1.4,1,1.6,1.8,7.6,6.45
Tayshaun,Prince,81,No,1998,Kentucky,SEC,37,?,20.2,2.2,5.4,0.414,1.4,2.6,0.546,0.8,2.7,0.287,0.6,0.9,0.656,?,?,3.8,1.2,0.7,0.6,1,0.9,5.8,9.93
Jules,Camara,83,No,1998,Kentucky,SEC,37,?,?,2,3.7,0.533,1.9,3.5,0.55,0.1,0.2,0.25,0.4,0.7,0.519,?,?,3.2,0.4,0.5,0.7,?,?,4.4,9.93
Josh,Howard,79,No,1999,'Wake Forest',ACC,36,?,24.9,3.6,7.7,0.46,3.2,6.6,0.492,0.3,1.2,0.286,1.8,3,0.583,?,?,4.7,1.8,1.2,0.9,1.7,2.9,9.2,8.95
Carlos,Boozer,81,No,1999,Duke,ACC,34,?,23.7,4.8,7.9,0.614,4.8,7.9,0.614,0,0,?,3.4,4.6,0.742,?,?,6.3,1.1,1.1,0.7,1.6,2.6,13,8.88
Travis,Watson,80,No,1999,Virginia,ACC,31,?,?,4.4,8.3,0.535,4.4,8.2,0.537,0,0,0,2.5,4.5,0.561,?,?,8.3,0.8,0.9,0.9,?,?,11.4,6.22
Jay,Williams,74,No,1999,Duke,ACC,34,?,34,5.3,12.6,0.419,3.1,6.5,0.48,2.1,6.1,0.354,1.8,2.6,0.685,?,?,4.2,6.5,2.4,0.2,4.1,2.5,14.5,8.88
Brian,Cook,81,No,1999,Illinois,'Big Ten',32,?,18.6,3.5,6.7,0.526,3.1,5.5,0.571,0.4,1.2,0.316,1.6,2.6,0.614,?,?,4.5,0.8,0.7,0.9,1.3,2.4,9,9.6
Lavell,Blanchard,79,No,1999,Michigan,'Big Ten',28,?,?,5.2,11.6,0.448,4,8.3,0.481,1.2,3.3,0.363,2.9,3.5,0.827,?,?,7.9,1.5,0.5,0.5,?,?,14.4,9.27
Gary,Buchanan,76,No,1999,Villanova,'Big East',33,?,?,4.1,9.4,0.432,1.8,3.6,0.487,2.3,5.8,0.398,2.1,2.2,0.932,?,?,2.8,2.6,0.9,0.1,?,?,12.5,6.74
Matt,Carroll,78,No,1999,'Notre Dame','Big East',37,?,26.2,3.4,8.4,0.403,1.6,3.4,0.48,1.7,4.9,0.35,1.4,1.8,0.769,?,?,2.6,2.1,0.7,0.3,?,?,9.8,6.38
Troy,Bell,73,No,1999,'Boston College','Big East',27,?,32,5.3,13.8,0.386,3.1,8.3,0.378,2.2,5.5,0.399,6,6.7,0.894,?,?,3.1,2.1,1.7,0.3,3.8,2.3,18.8,5.07
Rod,Grizzard,80,No,1999,Alabama,SEC,29,?,?,4.7,12.1,0.384,2.7,5.5,0.488,2,6.6,0.297,1.9,2.6,0.743,?,?,5.1,1.2,1,1.3,?,?,13.2,7.62
Larry,Satchell,81,No,1999,Arkansas,SEC,27,9,10.3,1,2,0.509,1,2,0.509,0,0,?,0.6,1.3,0.417,?,?,2.3,0.4,0.4,0.6,0.9,1.4,2.6,7.76
Marcus,Haislip,82,No,1999,Tennessee,SEC,31,0,8.1,1.7,2.8,0.591,1.4,2.3,0.606,0.3,0.5,0.529,0.7,1.3,0.564,?,?,1.8,0,0.3,0.7,0.7,1.3,4.4,8.12
Bernard,Robinson,78,No,2000,Michigan,'Big Ten',28,22,29,5.1,10.9,0.467,4.1,8.1,0.509,1,2.8,0.346,3.3,4.1,0.802,1.4,3.5,4.9,2.3,1.2,0.1,3.3,2.4,14.4,11.39
Jitim,Young,74,No,2000,Northwestern,'Big Ten',30,30,30.1,3.2,7.8,0.404,2.5,5,0.503,0.7,2.9,0.233,1.8,2.6,0.679,1.7,2,3.8,1.9,1.6,0.2,2.3,2.7,8.8,7.88
Julius,Page,75,No,2000,Pitt,'Big East',33,25,?,3.3,7.8,0.424,2,4,0.504,1.3,3.8,0.341,1.2,1.8,0.623,0.4,1.5,1.8,1.1,0.7,0.2,1.2,1.6,9.1,5.19
Bryant,Matthews,79,No,2000,'Virginia Tech','Big East',26,25,?,3,7.4,0.404,2.4,5.1,0.466,0.6,2.3,0.267,2.5,3.9,0.634,2,3.3,5.2,1.8,1.2,0.5,2.8,3.5,9.1,3.81
Mike,Sweetney,80,No,2000,Georgetown,'Big East',33,33,24.2,4.8,9.3,0.516,4.8,9.3,0.516,0,0,?,3.2,5.1,0.619,3.3,4.1,7.4,1.8,0.8,0.7,2.3,2,12.8,1.58
Andre,Barrett,70,No,2000,'Seton Hall','Big East',31,31,32.4,3.6,10,0.363,2.1,5,0.426,1.5,5,0.301,1.4,2,0.698,0.9,2.5,3.3,5.5,1.2,0.1,2.6,1.9,10.2,6.03
Darius,Rice,82,No,2000,'Miami FL','Big East',29,28,?,4.8,12.1,0.398,2.7,5.8,0.462,2.1,6.3,0.339,2.3,3.2,0.72,1.6,3.3,4.9,1.1,1.1,0.5,1.3,2.2,14.1,4.92
Chris,Daniels,79,No,2000,Georgia,SEC,31,7,?,1.3,2.6,0.481,1.2,2.5,0.462,0.1,0.1,1,0.9,1.4,0.643,0.9,1.6,2.6,0.7,0.5,0.3,1.2,1.6,3.5,12.71
Marquis,Estill,81,No,2000,Kentucky,SEC,32,0,?,2.7,4.4,0.603,2.5,3.9,0.64,0.2,0.5,0.313,1.8,2.4,0.731,1.6,2.2,3.8,0.6,0.2,1.1,1,2,7.3,11.06
Kyle,Davis,80,No,2010,Auburn,SEC,30,22,?,2,3.8,0.518,2,3.8,0.522,0,0,0,0.9,2,0.45,2.6,3.3,5.9,0.3,0.5,2.8,1.2,3,4.8,7.13
Daniel,Ewing,75,No,2001,Duke,ACC,35,0,18.2,2.3,4.8,0.479,1.4,2.8,0.495,0.9,2,0.457,1,1.5,0.686,1,1.2,2.2,1.3,0.9,0,0.8,2.3,6.5,9.16
Bj,Elder,76,No,2001,'Georgia Tech',ACC,31,13,20.3,3.7,8.7,0.428,2.4,5,0.477,1.3,3.7,0.36,1.2,1.5,0.787,0.9,1.3,2.1,1.4,0.9,0.1,1.5,2.6,9.9,8.66
Jawad,Williams,81,No,2001,UNC,ACC,28,9,23.2,3.7,7.2,0.515,3,5.3,0.565,0.8,2,0.382,1.6,2.8,0.557,1.7,2.5,4.2,1.2,0.6,0.6,1.6,1.4,9.8,10.52
Julius,Hodge,79,No,2001,'NC State',ACC,33,33,27.5,3.5,7.9,0.442,2.5,5,0.497,1,2.9,0.347,2.7,3.6,0.742,1.9,2.9,4.8,2.2,0.9,0.3,1.8,2.6,10.7,8.17
Michael,Wilkinson,80,No,2001,Wisconsin,'Big Ten',32,1,28.2,2.9,6.6,0.443,2.4,4.9,0.481,0.6,1.7,0.333,2.9,3.8,0.756,2.3,3,5.3,1.5,1.3,0.4,1.6,2.4,9.3,9.22
Chris,Hill,?,Yes,2001,Mercer,TAAC,33,?,?,3.9,9.6,0.406,1.9,4.4,0.432,2,5.2,0.384,2.3,2.8,0.824,?,?,4.1,1.7,1.3,0,?,?,12.1,-5.77
Terence,Dials,81,No,2001,'Ohio State','Big Ten',32,0,16.6,2.7,4.3,0.623,2.7,4.3,0.623,0,0,?,1.3,2.2,0.592,1.6,2.6,4.2,0.5,0.6,0.7,0.7,2.7,6.7,7.26
Vedran,Vukusic,80,No,2001,Northwestern,'Big Ten',25,7,17.4,1.8,3.6,0.511,0.9,1.6,0.561,0.9,2,0.469,0.5,1,0.542,0.4,1.5,1.9,1.5,0.5,0.3,1.7,1.6,5.1,5.09
Ricky,Shields,76,No,2001,Rutgers,'Big East',31,31,27.1,3.8,10.4,0.368,2.4,5.8,0.409,1.4,4.5,0.314,2.4,3,0.798,1.4,2.3,3.6,1.8,1.1,0,2.4,1.4,11.5,2.91
Ben,Gordon,75,No,2001,UConn,'Big East',34,2,24.8,4.1,9.3,0.444,2.3,4.9,0.473,1.8,4.4,0.413,2.5,3.4,0.726,0.6,2.1,2.7,3.1,1,0.2,2.4,2.4,12.6,7.43
Hakim,Warrick,81,No,2001,Syracuse,'Big East',35,19,17.4,2.7,4.9,0.552,2.7,4.9,0.553,0,0.1,0.5,0.7,1.7,0.383,2,2.8,4.8,0.5,0.6,0.6,1.1,2,6.1,5.9
Ryan,Gomes,79,No,2001,Providence,'Big East',24,23,31.5,5.5,9.8,0.559,5.5,9.7,0.567,0,0.1,0,2.8,4.6,0.613,3.6,4.3,7.8,1.5,1.4,0.7,1.5,2.6,13.8,4.54
Chris,Thomas,76,No,2001,'Florida Atlantic',A-Sun,20,5,21.9,3.4,8.8,0.389,2.4,5.7,0.421,1,3.1,0.328,1.2,1.6,0.774,0.9,1.7,2.5,0.7,0.8,0.3,1.9,1.8,9,-4.18
Brandon,Crump,82,No,2001,Tennessee,SEC,30,19,21.6,2.8,4.8,0.594,2.8,4.7,0.596,0,0.1,0.5,1.4,2.6,0.551,1.9,2.3,4.2,0.9,0.4,0.6,1.1,2.7,7.1,10.93
David,Lee,81,No,2001,Florida,SEC,31,0,18,2.7,4.7,0.579,2.7,4.7,0.579,0,0,?,1.6,2.9,0.549,2.1,2.5,4.7,1,0.6,0.7,1.7,1.5,7,8.37
Chuck,Hayes,78,No,2001,Kentucky,SEC,32,9,16.7,2.1,4.5,0.462,1.9,3.8,0.496,0.2,0.7,0.273,1.5,2,0.738,2.1,2.3,4.5,1.1,0.8,0.4,0.7,1.8,5.9,11.99
Jj,Redick,76,No,2002,Duke,ACC,33,30,30.7,4.5,10.9,0.413,1.6,3.7,0.439,2.9,7.2,0.399,3.1,3.4,0.919,0.6,1.9,2.5,2,1.2,0.1,1.6,1.7,15,8.38
Nik,Caner,80,No,2002,Maryland,ACC,31,18,16.7,2.4,4.5,0.536,2.1,3.6,0.577,0.3,0.9,0.37,0.8,1.4,0.581,1.6,1.9,3.5,1,1.2,0.6,0.9,2.1,5.9,7.56
Justin,Gray,74,No,2002,'Wake Forest',ACC,23,10,27.3,3.7,9.6,0.389,2.2,4.7,0.477,1.5,5,0.307,3.7,4.7,0.787,0.7,3,3.6,3.5,1.2,0,2.3,2.5,12.7,6.96
Rashad,Mccants,76,No,2002,UNC,ACC,35,31,29.9,6.1,12.5,0.491,4.1,7.5,0.542,2.1,5,0.414,2.6,3.8,0.697,1.7,3,4.6,1.5,1.4,0.5,2.3,2.7,17,10.31
Eric,Williams,80,No,2002,Providence,'Big East',30,?,26,5.5,10.9,0.508,5.5,10.7,0.516,0,0.2,0,4.6,7,0.66,?,?,5,1.2,1.2,1.8,1.8,2.3,15.7,9.95
Shelden,Williams,81,No,2002,Duke,ACC,33,23,19.2,2.9,5.6,0.516,2.9,5.5,0.519,0,0,0,2.4,3.8,0.645,2.5,3.4,5.9,0.5,0.7,1.6,1.8,3.1,8.2,8.38
Jeff,Horner,75,No,2002,Iowa,'Big Ten',31,31,35.4,2.5,7.7,0.332,1.2,2.9,0.422,1.3,4.8,0.277,1.8,2.4,0.767,0.7,3.7,4.4,4.5,1.3,0.2,2.5,2.1,8.2,5.83
Greg,Brunner,79,No,2002,Iowa,'Big Ten',31,23,24.4,2.9,5.6,0.526,2.7,4.5,0.596,0.2,1,0.219,1.5,2.5,0.584,1.8,3.5,5.2,1.5,0.7,0.6,1.7,2.5,7.5,5.83
Maurice,Ager,77,No,2002,'Michigan State','Big Ten',27,4,17.1,2.2,5.6,0.4,1.1,2.9,0.403,1.1,2.7,0.397,1.1,1.5,0.775,0.4,1.9,2.3,0.6,0.2,0.4,0.9,1.7,6.7,9.71
Adam,Haluska,77,No,2002,'Iowa State','Big 12',31,31,28.6,3.3,8.4,0.398,2,4.5,0.45,1.3,3.8,0.336,1.2,1.6,0.76,0.7,2.9,3.6,1,0.7,0.4,1.3,2.7,9.2,6.05
Daniel,Horton,75,No,2002,Michigan,'Big Ten',30,30,36.1,5,13.5,0.372,2.6,6.3,0.405,2.5,7.2,0.343,2.7,3.5,0.764,0.5,1.8,2.3,4.5,1.4,0.4,3.7,2.6,15.2,7.88
Paul,Davis,83,No,2002,'Michigan State','Big Ten',35,5,17.8,2.5,5.7,0.438,2.5,5.6,0.446,0,0.2,0.167,2.8,4.2,0.66,1.1,3.6,4.7,0.4,0.9,0.5,1.5,2.1,7.8,9.71
Dee,Brown,73,No,2002,Jacksonville,'Sun Belt',21,?,8.9,1.3,3.1,0.431,1.2,2.5,0.491,0.1,0.6,0.167,0.6,1,0.591,?,?,1.3,0.8,0.5,0,0.5,0.5,3.4,1.96
Alando,Tucker,78,No,2002,Wisconsin,'Big Ten',32,27,31.8,4.3,8.2,0.533,3.8,6.3,0.596,0.6,1.8,0.31,2.8,4.1,0.685,2.7,3.2,5.9,1.1,0.9,0.3,1.3,2.4,12,6.51
Brandon,Bowman,81,No,2002,Georgetown,'Big East',34,34,23.9,2.8,7.3,0.383,2.5,5.7,0.44,0.3,1.6,0.182,1.7,2.3,0.74,1.4,3.1,4.5,1.5,1.1,0.4,2.1,2.4,7.6,6.27
Carl,Krauser,74,No,2002,Pitt,'Big East',32,1,18.6,1.9,4.3,0.441,1.2,2.6,0.476,0.7,1.7,0.389,1.6,2.2,0.729,0.4,2.4,2.8,2.9,1.1,0,2,2.1,6,5.79
Curtis,Sumpter,79,No,2002,Villanova,'Big East',31,5,19,2.4,5.5,0.433,2.1,4.3,0.489,0.3,1.2,0.237,1.2,1.6,0.72,1.5,2.6,4.1,0.4,0.5,0.5,1.4,2.2,6.2,7.56
Kevin,Pittsnogle,83,No,2002,'West Virginia','Big East',29,29,26.6,4.3,8.7,0.498,2.7,5.2,0.513,1.7,3.6,0.476,1.2,1.7,0.7,1.4,3.3,4.8,1.1,0.8,1.3,1.7,2,11.6,6.84
Craig,Smith,79,No,2002,'Boston College','Big East',31,28,31.9,7.8,12.9,0.603,7.7,12.4,0.618,0.1,0.5,0.2,4.3,6.3,0.68,3.2,4.7,7.9,1.3,0.9,0.9,2.4,3.4,19.9,7.23
Randy,Foye,76,No,2002,Villanova,'Big East',31,29,26.8,3.5,9.8,0.362,2.6,6.7,0.389,0.9,3.1,0.302,2.2,2.7,0.831,0.9,2.6,3.5,2.9,1,0.2,3.5,3.3,10.3,7.56
Allan,Ray,74,No,2003,Villanova,'Big East',31,5,25.3,3.2,8.7,0.37,2,4.6,0.434,1.2,4.1,0.299,2.3,3,0.761,0.9,1.7,2.5,1.5,1,0.1,2.3,2.4,9.9,7.56
Gerry,Mcnamara,74,No,2002,Syracuse,'Big East',35,35,35.3,4.2,10.4,0.401,1.7,3.6,0.484,2.4,6.8,0.357,2.6,2.8,0.909,0.4,1.9,2.3,4.4,2.2,0.1,2.4,2,13.3,9.02
Julian,Terrell,81,No,2002,Vanderbilt,SEC,29,8,14.7,1.7,3.5,0.485,1.7,3.5,0.485,0,0,?,1,2,0.483,1,2.9,3.9,0.2,0.9,0.8,1.6,2.2,4.3,9.36
Chuck,Davis,75,No,2002,Alabama,SEC,13,0,6.6,0.6,1.7,0.364,0.5,1.5,0.35,0.1,0.2,0.5,0.2,0.8,0.2,0.5,0.8,1.3,0.2,0,0.2,0.7,1.2,1.5,9.4
Jr,Reynolds,76,No,2003,'Eastern Illinois',OVC,28,13,21.7,3.1,7.6,0.404,1.3,2.7,0.461,1.8,4.9,0.372,1.8,2.6,0.685,1,1.8,2.8,1.6,0.6,0,1.3,1.3,9.8,-1.71
Al,Thornton,80,No,2003,'Florida State',ACC,30,0,7.9,1,1.9,0.517,0.9,1.7,0.529,0.1,0.2,0.429,0.7,1.4,0.5,0.6,1.2,1.8,0.2,0.2,0.2,0.5,1.4,2.8,8.3
Dion,Harris,75,No,2003,Michigan,'Big Ten',34,11,28.1,3.3,8.4,0.393,1.6,3.4,0.47,1.7,5,0.341,1.8,2.3,0.772,0.6,1.6,2.2,2.2,1,0.1,1.9,2.1,10.1,6.16
