id,fname,lname,ht,_done,f_yr,school,conf,g,gs,mp_per_g,fg_per_g,fga_per_g,fg_pct,fg2_per_g,fg2a_per_g,fg2_pct,fg3_per_g,fg3a_per_g,fg3_pct,ft_per_g,fta_per_g,ft_pct,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g,sos-dum,sos
Devin Booker,Devin,Booker,"6'8""",No,,Clemson,ACC,32,1,11.6,1.9,3.3,0.561,1.9,3.3,0.566,0,0,0,0.8,1.4,0.533,1.1,1.8,2.9,0.3,0.4,0.1,0.9,1.3,4.5,,7.9
Brandon Ingram,Brandon,Ingram,"6'9""",Yes,,Duke,ACC,36,34,34.6,5.9,13.4,0.442,3.7,8,0.464,2.2,5.4,0.41,3.2,4.7,0.682,1.9,4.9,6.8,2,1.1,1.4,2,2.1,17.3,,10.59
Jamal Murray,Jamal,Murray,"6'5""",Yes,,Kentucky,SEC,36,36,35.2,6.8,14.9,0.454,3.6,7.3,0.502,3.1,7.7,0.408,3.3,4.2,0.783,1.5,3.7,5.2,2.2,1,0.3,2.3,2.1,20,,8.84
Anthony Cowan,Anthony,Cowan,"6'0""",No,2016-17,Maryland,Big Ten,33,33,29,2.9,6.9,0.424,2.2,4.5,0.48,0.8,2.5,0.321,3.6,4.7,0.769,0.9,3,3.9,3.7,1.2,0.2,2.3,2,10.3,,8.29
Kihei Clark,Kihei,Clark,"5'9""",No,2018-19,Virginia,ACC,38,20,26.8,1.4,4.1,0.35,0.7,1.9,0.361,0.8,2.2,0.341,0.9,1.1,0.825,0.4,1.9,2.3,2.6,0.7,0,1,1.4,4.5,,10.15
Caleb Hunter,Caleb,Hunter,"5'11""",Yes,2019-20,Mississippi Valley State,SWAC,28,27,31.6,5.5,16.6,0.332,2.9,7.3,0.4,2.6,9.3,0.278,2.1,3.6,0.584,0.6,2.2,2.9,2.3,1.4,0,2.5,2.1,15.7,,-7.68
Anthony Edwards,Anthony,Edwards,"6'1""",No,,Missouri State,MVC,23,0,8,0.8,1.7,0.462,0.7,1.4,0.455,0.1,0.3,0.5,0.4,0.7,0.6,,,1,0.8,0.4,0,0.7,0.6,2.1,,-1.09
Max Abmas,Max,Abmas,"6'1""",Yes,2019-20,Oral Roberts,Summit,31,31,29.5,5.1,12.4,0.411,2.3,4.7,0.486,2.8,7.7,0.366,1.4,1.7,0.83,0.4,1.8,2.2,1.4,1,0.2,1,1.6,14.4,,-1.58
Keaston Willis,Keaston,Willis,"6'3""",Yes,2019-20,Incarnate Word,Southland,31,27,31,4.3,11.5,0.372,1.7,4.1,0.413,2.6,7.5,0.349,2.1,2.7,0.765,0.5,2.3,2.7,1,0.8,0.1,1.3,1.7,13.3,,-6.85
Tyger Campbell,Tyger,Campbell,"5'11""",Yes,2019-20,UCLA,Pac-12,31,31,30,2.8,7.8,0.358,2,4.9,0.412,0.8,2.9,0.267,1.9,2.8,0.674,0.6,1.7,2.4,5,0.8,0,1.8,2,8.3,,8.23
Carlos Paez,Carlos,Paez,"5'10""",Yes,2019-20,Austin Peay,OVC,33,19,24.6,1.8,4.8,0.376,0.9,2.3,0.408,0.8,2.5,0.346,2,2.3,0.882,0.3,1.5,1.8,3.5,1.3,0,1.3,2.4,6.5,,-4.14
Talon Cooper,Talon,Cooper,"6'4""",Yes,2019-20,Morehead State,OVC,30,7,23.2,2.2,4.9,0.452,1.2,2.2,0.53,1,2.7,0.388,1.5,1.9,0.807,0.6,2.3,2.8,3.1,0.9,0.3,1.2,1.4,7,,-6.42
